"Name","API Name","Instance Memory","vCPUs","Memory per vCPU","GPUs","Storage","Linux On Demand cost","Linux Savings Plan","Linux Reserved cost","Linux Spot cost","Windows On Demand cost","Windows Savings Plan","Windows Reserved cost","Windows Spot cost"
"D2lds v6","D2lds v6","4 GiB","2","2 GiB/vCPU","0","110 GiB","$0.11 hourly","","","$0.0242 hourly","$0.202 hourly","","","$0.0445 hourly"
"D2lds v7","D2lds v7","4 GiB","2","2 GiB/vCPU","0","110 GiB","$0.139 hourly","","","$0.0257 hourly","$0.231 hourly","","","$0.0427 hourly"
"D2ls v5","D2ls v5","4 GiB","2","2 GiB/vCPU","0","0 GiB","$0.085 hourly","","","$0.0179 hourly","$0.177 hourly","","","$0.0374 hourly"
"D2ls v6","D2ls v6","4 GiB","2","2 GiB/vCPU","0","0 GiB","$0.0893 hourly","","","$0.0194 hourly","$0.181 hourly","","","$0.0394 hourly"
"D2ls v7","D2ls v7","4 GiB","2","2 GiB/vCPU","0","0 GiB","$0.117 hourly","","","$0.0216 hourly","$0.209 hourly","","","$0.0386 hourly"
"D2nds v6","D2nds v6","8 GiB","2","4 GiB/vCPU","0","110 GiB","$0.159 hourly","","","$0.035 hourly","$0.251 hourly","","","$0.0552 hourly"
"D2nlds v6","D2nlds v6","4 GiB","2","2 GiB/vCPU","0","110 GiB","$0.14 hourly","","","$0.0308 hourly","$0.232 hourly","","","$0.0511 hourly"
"D2nls v6","D2nls v6","4 GiB","2","2 GiB/vCPU","0","0 GiB","$0.113 hourly","","","$0.0246 hourly","$0.205 hourly","","","$0.0446 hourly"
"D2ns v6","D2ns v6","8 GiB","2","4 GiB/vCPU","0","0 GiB","$0.139 hourly","","","$0.0302 hourly","$0.231 hourly","","","$0.0502 hourly"
"Standard D2pds v5","D2pds v5","8 GiB","2","4 GiB/vCPU","0","75 GiB","$0.0904 hourly","","","$0.0191 hourly","","","",""
"Standard D2pds v6","D2pds v6","8 GiB","2","4 GiB/vCPU","0","110 GiB","$0.0918 hourly","","","$0.0261 hourly","","","",""
"Standard D2plds v5","D2plds v5","4 GiB","2","2 GiB/vCPU","0","75 GiB","$0.0768 hourly","","","$0.0162 hourly","","","",""
"Standard D2plds v6","D2plds v6","4 GiB","2","2 GiB/vCPU","0","110 GiB","$0.078 hourly","","","$0.0222 hourly","","","",""
"Standard D2pls v5","D2pls v5","4 GiB","2","2 GiB/vCPU","0","0 GiB","$0.068 hourly","","","$0.0144 hourly","","","",""
"Standard D2pls v6","D2pls v6","4 GiB","2","2 GiB/vCPU","0","0 GiB","$0.062 hourly","","","$0.0176 hourly","","","",""
"Standard D2ps v5","D2ps v5","8 GiB","2","4 GiB/vCPU","0","0 GiB","$0.077 hourly","","","$0.0163 hourly","","","",""
"Standard D2ps v6","D2ps v6","8 GiB","2","4 GiB/vCPU","0","0 GiB","$0.0702 hourly","","","$0.0199 hourly","","","",""
"D2s","D2s","7 GiB","2","3.5 GiB/vCPU","0","14 GiB","$0.154 hourly","","","$0.0302 hourly","$0.28 hourly","","","$0.0549 hourly"
"D2s v3","D2s v3","8 GiB","2","4 GiB/vCPU","0","16 GiB","$0.096 hourly","","","$0.0188 hourly","$0.188 hourly","","","$0.0368 hourly"
"D2s v4","D2s v4","8 GiB","2","4 GiB/vCPU","0","0 GiB","$0.096 hourly","","","$0.0202 hourly","$0.188 hourly","","","$0.0396 hourly"
"D2s v5","D2s v5","8 GiB","2","4 GiB/vCPU","0","0 GiB","$0.096 hourly","","","$0.0203 hourly","$0.188 hourly","","","$0.0397 hourly"
"D2s v6","D2s v6","8 GiB","2","4 GiB/vCPU","0","0 GiB","$0.101 hourly","","","$0.022 hourly","$0.193 hourly","","","$0.042 hourly"
"D2s v7","D2s v7","8 GiB","2","4 GiB/vCPU","0","0 GiB","$0.132 hourly","","","$0.0244 hourly","$0.224 hourly","","","$0.0414 hourly"
"D2 v2","D2 v2","7 GiB","2","3.5 GiB/vCPU","0","100 GiB","$0.146 hourly","","","$0.0286 hourly","$0.238 hourly","","","$0.0466 hourly"
"D2 v3","D2 v3","8 GiB","2","4 GiB/vCPU","0","50 GiB","$0.096 hourly","","","$0.0188 hourly","$0.188 hourly","","","$0.0368 hourly"
"D2 v4","D2 v4","8 GiB","2","4 GiB/vCPU","0","0 GiB","$0.096 hourly","","","$0.0202 hourly","$0.188 hourly","","","$0.0396 hourly"
"D2 v5","D2 v5","8 GiB","2","4 GiB/vCPU","0","0 GiB","$0.096 hourly","","","$0.0203 hourly","$0.188 hourly","","","$0.0397 hourly"
"D3","D3","14 GiB","4","3.5 GiB/vCPU","0","200 GiB","$0.308 hourly","","","$0.0604 hourly","$0.56 hourly","","","$0.1098 hourly"
"D32ads v5","D32ads v5","128 GiB","32","4 GiB/vCPU","0","1200 GiB","$1.648 hourly","","","$0.3764 hourly","$3.12 hourly","","","$0.7126 hourly"
"D32ads v6","D32ads v6","128 GiB","32","4 GiB/vCPU","0","1760 GiB","$1.824 hourly","","","$0.3943 hourly","$3.296 hourly","","","$0.7116 hourly"
"D32ads v7","D32ads v7","128 GiB","32","4 GiB/vCPU","0","1760 GiB","$1.824 hourly","","","$0.342 hourly","$3.296 hourly","","","$0.6196 hourly"
"D32alds v6","D32alds v6","64 GiB","32","2 GiB/vCPU","0","1760 GiB","$1.523 hourly","","","$0.3293 hourly","$2.995 hourly","","","$0.6466 hourly"
"D32alds v7","D32alds v7","64 GiB","32","2 GiB/vCPU","0","1760 GiB","$1.523 hourly","","","$0.2856 hourly","$2.995 hourly","","","$0.5631 hourly"
"D32als v6","D32als v6","64 GiB","32","2 GiB/vCPU","0","0 GiB","$1.286 hourly","","","$0.2695 hourly","$2.758 hourly","","","$0.5781 hourly"
"D32als v7","D32als v7","64 GiB","32","2 GiB/vCPU","0","0 GiB","$1.286 hourly","","","$0.2411 hourly","$2.758 hourly","","","$0.5185 hourly"
"D32as v4","D32as v4","128 GiB","32","4 GiB/vCPU","0","256 GiB","$1.536 hourly","","","$0.3353 hourly","$3.008 hourly","","","$0.6566 hourly"
"D32as v5","D32as v5","128 GiB","32","4 GiB/vCPU","0","0 GiB","$1.376 hourly","","","$0.3143 hourly","$2.848 hourly","","","$0.6505 hourly"
"D32as v6","D32as v6","128 GiB","32","4 GiB/vCPU","0","0 GiB","$1.453 hourly","","","$0.3045 hourly","$2.925 hourly","","","$0.6131 hourly"
"D32as v7","D32as v7","128 GiB","32","4 GiB/vCPU","0","0 GiB","$1.453 hourly","","","$0.2724 hourly","$2.925 hourly","","","$0.5499 hourly"
"D32a v4","D32a v4","128 GiB","32","4 GiB/vCPU","0","800 GiB","$1.536 hourly","","","$0.3353 hourly","$3.008 hourly","","","$0.6566 hourly"
"D32ds v4","D32ds v4","128 GiB","32","4 GiB/vCPU","0","1200 GiB","$1.808 hourly","","","$0.3903 hourly","$3.28 hourly","","","$0.7082 hourly"
"D32ds v5","D32ds v5","128 GiB","32","4 GiB/vCPU","0","1200 GiB","$1.808 hourly","","","$0.4003 hourly","$3.28 hourly","","","$0.7262 hourly"
"D32ds v6","D32ds v6","128 GiB","32","4 GiB/vCPU","0","1760 GiB","$1.993 hourly","","","$0.4387 hourly","$3.465 hourly","","","$0.7626 hourly"
"D32ds v7","D32ds v7","128 GiB","32","4 GiB/vCPU","0","1760 GiB","$2.611 hourly","","","$0.4825 hourly","$4.083 hourly","","","$0.7545 hourly"
"D32d v4","D32d v4","128 GiB","32","4 GiB/vCPU","0","1200 GiB","$1.808 hourly","","","$0.3903 hourly","$3.28 hourly","","","$0.7082 hourly"
"D32d v5","D32d v5","128 GiB","32","4 GiB/vCPU","0","1200 GiB","$1.808 hourly","","","$0.4003 hourly","$3.28 hourly","","","$0.7262 hourly"
"D32lds v5","D32lds v5","64 GiB","32","2 GiB/vCPU","0","1200 GiB","$1.536 hourly","","","$0.3401 hourly","$3.008 hourly","","","$0.666 hourly"
"D32lds v6","D32lds v6","64 GiB","32","2 GiB/vCPU","0","1760 GiB","$1.765 hourly","","","$0.3885 hourly","$3.237 hourly","","","$0.7125 hourly"
"D32lds v7","D32lds v7","64 GiB","32","2 GiB/vCPU","0","1760 GiB","$2.218 hourly","","","$0.4099 hourly","$3.69 hourly","","","$0.6819 hourly"
"D32ls v5","D32ls v5","64 GiB","32","2 GiB/vCPU","0","0 GiB","$1.36 hourly","","","$0.2871 hourly","$2.832 hourly","","","$0.5978 hourly"
"D32ls v6","D32ls v6","64 GiB","32","2 GiB/vCPU","0","0 GiB","$1.428 hourly","","","$0.3106 hourly","$2.90 hourly","","","$0.6308 hourly"
"D32ls v7","D32ls v7","64 GiB","32","2 GiB/vCPU","0","0 GiB","$1.874 hourly","","","$0.3463 hourly","$3.346 hourly","","","$0.6183 hourly"
"D32nds v6","D32nds v6","128 GiB","32","4 GiB/vCPU","0","1760 GiB","$2.546 hourly","","","$0.5604 hourly","$4.018 hourly","","","$0.8844 hourly"
"D32nlds v6","D32nlds v6","64 GiB","32","2 GiB/vCPU","0","1760 GiB","$2.241 hourly","","","$0.4932 hourly","$3.713 hourly","","","$0.8172 hourly"
"D32nls v6","D32nls v6","64 GiB","32","2 GiB/vCPU","0","0 GiB","$1.814 hourly","","","$0.3945 hourly","$3.286 hourly","","","$0.7147 hourly"
"D32ns v6","D32ns v6","128 GiB","32","4 GiB/vCPU","0","0 GiB","$2.228 hourly","","","$0.4846 hourly","$3.70 hourly","","","$0.8048 hourly"
"Standard D32pds v5","D32pds v5","128 GiB","32","4 GiB/vCPU","0","1200 GiB","$1.446 hourly","","","$0.3057 hourly","","","",""
"Standard D32pds v6","D32pds v6","128 GiB","32","4 GiB/vCPU","0","1760 GiB","$1.469 hourly","","","$0.4172 hourly","","","",""
"Standard D32plds v5","D32plds v5","64 GiB","32","2 GiB/vCPU","0","1200 GiB","$1.229 hourly","","","$0.2598 hourly","","","",""
"Standard D32plds v6","D32plds v6","64 GiB","32","2 GiB/vCPU","0","1760 GiB","$1.248 hourly","","","$0.3544 hourly","","","",""
"Standard D32pls v5","D32pls v5","64 GiB","32","2 GiB/vCPU","0","0 GiB","$1.088 hourly","","","$0.23 hourly","","","",""
"Standard D32pls v6","D32pls v6","64 GiB","32","2 GiB/vCPU","0","0 GiB","$0.992 hourly","","","$0.2817 hourly","","","",""
"Standard D32ps v5","D32ps v5","128 GiB","32","4 GiB/vCPU","0","0 GiB","$1.232 hourly","","","$0.2604 hourly","","","",""
"Standard D32ps v6","D32ps v6","128 GiB","32","4 GiB/vCPU","0","0 GiB","$1.123 hourly","","","$0.3189 hourly","","","",""
"D32s v3","D32s v3","128 GiB","32","4 GiB/vCPU","0","256 GiB","$1.536 hourly","","","$0.3011 hourly","$3.008 hourly","","","$0.5896 hourly"
"D32s v4","D32s v4","128 GiB","32","4 GiB/vCPU","0","0 GiB","$1.536 hourly","","","$0.3239 hourly","$3.008 hourly","","","$0.6344 hourly"
"D32s v5","D32s v5","128 GiB","32","4 GiB/vCPU","0","0 GiB","$1.536 hourly","","","$0.3243 hourly","$3.008 hourly","","","$0.635 hourly"
"D32s v6","D32s v6","128 GiB","32","4 GiB/vCPU","0","0 GiB","$1.613 hourly","","","$0.3508 hourly","$3.085 hourly","","","$0.671 hourly"
"D32s v7","D32s v7","128 GiB","32","4 GiB/vCPU","0","0 GiB","$2.117 hourly","","","$0.3912 hourly","$3.589 hourly","","","$0.6632 hourly"
"D32 v3","D32 v3","128 GiB","32","4 GiB/vCPU","0","800 GiB","$1.536 hourly","","","$0.3011 hourly","$3.008 hourly","","","$0.5896 hourly"
"D32 v4","D32 v4","128 GiB","32","4 GiB/vCPU","0","0 GiB","$1.536 hourly","","","$0.3239 hourly","$3.008 hourly","","","$0.6344 hourly"
"D32 v5","D32 v5","128 GiB","32","4 GiB/vCPU","0","0 GiB","$1.536 hourly","","","$0.3243 hourly","$3.008 hourly","","","$0.635 hourly"
"D372ds v7","D372ds v7","1488 GiB","372","4 GiB/vCPU","0","20460 GiB","$30.348 hourly","","","$6.0696 hourly","$47.46 hourly","","","$9.492 hourly"
"D372ids v7","D372ids v7","1488 GiB","372","4 GiB/vCPU","0","20460 GiB","","","","","","","",""
"D372is v7","D372is v7","1488 GiB","372","4 GiB/vCPU","0","0 GiB","","","","","","","",""
"D372s v7","D372s v7","1488 GiB","372","4 GiB/vCPU","0","0 GiB","$24.608 hourly","","","$4.9216 hourly","$41.72 hourly","","","$8.344 hourly"
"D3s","D3s","14 GiB","4","3.5 GiB/vCPU","0","28 GiB","$0.308 hourly","","","$0.0604 hourly","$0.56 hourly","","","$0.1098 hourly"
"D3 v2","D3 v2","14 GiB","4","3.5 GiB/vCPU","0","200 GiB","$0.293 hourly","","","$0.0574 hourly","$0.476 hourly","","","$0.0933 hourly"
"D4","D4","28 GiB","8","3.5 GiB/vCPU","0","400 GiB","$0.616 hourly","","","$0.1207 hourly","$1.12 hourly","","","$0.2195 hourly"
"D48ads v5","D48ads v5","192 GiB","48","4 GiB/vCPU","0","1800 GiB","$2.472 hourly","","","$0.5646 hourly","$4.68 hourly","","","$1.0689 hourly"
"D48ads v6","D48ads v6","192 GiB","48","4 GiB/vCPU","0","2640 GiB","$2.736 hourly","","","$0.5915 hourly","$4.944 hourly","","","$1.0674 hourly"
"D48ads v7","D48ads v7","192 GiB","48","4 GiB/vCPU","0","2640 GiB","$2.736 hourly","","","$0.513 hourly","$4.944 hourly","","","$0.9295 hourly"
"D48alds v6","D48alds v6","96 GiB","48","2 GiB/vCPU","0","2640 GiB","$2.285 hourly","","","$0.494 hourly","$4.493 hourly","","","$0.97 hourly"
"D48alds v7","D48alds v7","96 GiB","48","2 GiB/vCPU","0","2640 GiB","$2.285 hourly","","","$0.4284 hourly","$4.493 hourly","","","$0.8447 hourly"
"D48als v6","D48als v6","96 GiB","48","2 GiB/vCPU","0","0 GiB","$1.93 hourly","","","$0.4045 hourly","$4.138 hourly","","","$0.8673 hourly"
"D48als v7","D48als v7","96 GiB","48","2 GiB/vCPU","0","0 GiB","$1.93 hourly","","","$0.3619 hourly","$4.138 hourly","","","$0.7779 hourly"
"D48as v4","D48as v4","192 GiB","48","4 GiB/vCPU","0","384 GiB","$2.304 hourly","","","$0.503 hourly","$4.512 hourly","","","$0.985 hourly"
"D48as v5","D48as v5","192 GiB","48","4 GiB/vCPU","0","0 GiB","$2.064 hourly","","","$0.4714 hourly","$4.272 hourly","","","$0.9757 hourly"
"D48as v6","D48as v6","192 GiB","48","4 GiB/vCPU","0","0 GiB","$2.179 hourly","","","$0.4567 hourly","$4.387 hourly","","","$0.9195 hourly"
"D48as v7","D48as v7","192 GiB","48","4 GiB/vCPU","0","0 GiB","$2.179 hourly","","","$0.4086 hourly","$4.387 hourly","","","$0.8248 hourly"
"D48a v4","D48a v4","192 GiB","48","4 GiB/vCPU","0","1200 GiB","$2.304 hourly","","","$0.503 hourly","$4.512 hourly","","","$0.985 hourly"
"D48ds v4","D48ds v4","192 GiB","48","4 GiB/vCPU","0","1800 GiB","$2.712 hourly","","","$0.5855 hourly","$4.92 hourly","","","$1.0622 hourly"
"D48ds v5","D48ds v5","192 GiB","48","4 GiB/vCPU","0","1800 GiB","$2.712 hourly","","","$0.6004 hourly","$4.92 hourly","","","$1.0893 hourly"
"D48ds v6","D48ds v6","192 GiB","48","4 GiB/vCPU","0","2640 GiB","$2.99 hourly","","","$0.6581 hourly","$5.198 hourly","","","$1.1441 hourly"
"D48ds v7","D48ds v7","192 GiB","48","4 GiB/vCPU","0","2640 GiB","$3.916 hourly","","","$0.7237 hourly","$6.124 hourly","","","$1.1317 hourly"
"D48d v4","D48d v4","192 GiB","48","4 GiB/vCPU","0","1800 GiB","$2.712 hourly","","","$0.5855 hourly","$4.92 hourly","","","$1.0622 hourly"
"D48d v5","D48d v5","192 GiB","48","4 GiB/vCPU","0","1800 GiB","$2.712 hourly","","","$0.6004 hourly","$4.92 hourly","","","$1.0893 hourly"
"D48lds v5","D48lds v5","96 GiB","48","2 GiB/vCPU","0","1800 GiB","$2.304 hourly","","","$0.5101 hourly","$4.512 hourly","","","$0.999 hourly"
"D48lds v6","D48lds v6","96 GiB","48","2 GiB/vCPU","0","2640 GiB","$2.648 hourly","","","$0.5828 hourly","$4.856 hourly","","","$1.0688 hourly"
"D48lds v7","D48lds v7","96 GiB","48","2 GiB/vCPU","0","2640 GiB","$3.326 hourly","","","$0.6146 hourly","$5.534 hourly","","","$1.0227 hourly"
"D48ls v5","D48ls v5","96 GiB","48","2 GiB/vCPU","0","0 GiB","$2.04 hourly","","","$0.4306 hourly","$4.248 hourly","","","$0.8968 hourly"
"D48ls v6","D48ls v6","96 GiB","48","2 GiB/vCPU","0","0 GiB","$2.142 hourly","","","$0.4659 hourly","$4.35 hourly","","","$0.9461 hourly"
"D48ls v7","D48ls v7","96 GiB","48","2 GiB/vCPU","0","0 GiB","$2.811 hourly","","","$0.5195 hourly","$5.019 hourly","","","$0.9275 hourly"
"D48nds v6","D48nds v6","192 GiB","48","4 GiB/vCPU","0","2640 GiB","$3.819 hourly","","","$0.8406 hourly","$6.027 hourly","","","$1.3265 hourly"
"D48nlds v6","D48nlds v6","96 GiB","48","2 GiB/vCPU","0","2640 GiB","$3.361 hourly","","","$0.7398 hourly","$5.569 hourly","","","$1.2257 hourly"
"D48nls v6","D48nls v6","96 GiB","48","2 GiB/vCPU","0","0 GiB","$2.722 hourly","","","$0.592 hourly","$4.93 hourly","","","$1.0723 hourly"
"D48ns v6","D48ns v6","192 GiB","48","4 GiB/vCPU","0","0 GiB","$3.342 hourly","","","$0.7269 hourly","$5.55 hourly","","","$1.2071 hourly"
"Standard D48pds v5","D48pds v5","192 GiB","48","4 GiB/vCPU","0","1800 GiB","$2.17 hourly","","","$0.4587 hourly","","","",""
"Standard D48pds v6","D48pds v6","192 GiB","48","4 GiB/vCPU","0","2640 GiB","$2.203 hourly","","","$0.6257 hourly","","","",""
"Standard D48plds v5","D48plds v5","96 GiB","48","2 GiB/vCPU","0","1800 GiB","$1.843 hourly","","","$0.3896 hourly","","","",""
"Standard D48plds v6","D48plds v6","96 GiB","48","2 GiB/vCPU","0","2640 GiB","$1.872 hourly","","","$0.5316 hourly","","","",""
"Standard D48pls v5","D48pls v5","96 GiB","48","2 GiB/vCPU","0","0 GiB","$1.632 hourly","","","$0.345 hourly","","","",""
"Standard D48pls v6","D48pls v6","96 GiB","48","2 GiB/vCPU","0","0 GiB","$1.488 hourly","","","$0.4226 hourly","","","",""
"Standard D48ps v5","D48ps v5","192 GiB","48","4 GiB/vCPU","0","0 GiB","$1.848 hourly","","","$0.3907 hourly","","","",""
"Standard D48ps v6","D48ps v6","192 GiB","48","4 GiB/vCPU","0","0 GiB","$1.685 hourly","","","$0.4785 hourly","","","",""
"D48s v3","D48s v3","192 GiB","48","4 GiB/vCPU","0","384 GiB","$2.304 hourly","","","$0.4516 hourly","$4.512 hourly","","","$0.8844 hourly"
"D48s v4","D48s v4","192 GiB","48","4 GiB/vCPU","0","0 GiB","$2.304 hourly","","","$0.4859 hourly","$4.512 hourly","","","$0.9516 hourly"
"D48s v5","D48s v5","192 GiB","48","4 GiB/vCPU","0","0 GiB","$2.304 hourly","","","$0.4864 hourly","$4.512 hourly","","","$0.9525 hourly"
"D48s v6","D48s v6","192 GiB","48","4 GiB/vCPU","0","0 GiB","$2.419 hourly","","","$0.5261 hourly","$4.627 hourly","","","$1.0064 hourly"
"D48s v7","D48s v7","192 GiB","48","4 GiB/vCPU","0","0 GiB","$3.175 hourly","","","$0.5867 hourly","$5.383 hourly","","","$0.9948 hourly"
"D48 v3","D48 v3","192 GiB","48","4 GiB/vCPU","0","1200 GiB","$2.304 hourly","","","$0.4516 hourly","$4.512 hourly","","","$0.8844 hourly"
"D48 v4","D48 v4","192 GiB","48","4 GiB/vCPU","0","0 GiB","$2.304 hourly","","","$0.4859 hourly","$4.512 hourly","","","$0.9516 hourly"
"D48 v5","D48 v5","192 GiB","48","4 GiB/vCPU","0","0 GiB","$2.304 hourly","","","$0.4864 hourly","$4.512 hourly","","","$0.9525 hourly"
"D4ads v5","D4ads v5","16 GiB","4","4 GiB/vCPU","0","150 GiB","$0.206 hourly","","","$0.0471 hourly","$0.39 hourly","","","$0.0891 hourly"
"D4ads v6","D4ads v6","16 GiB","4","4 GiB/vCPU","0","220 GiB","$0.228 hourly","","","$0.0493 hourly","$0.412 hourly","","","$0.089 hourly"
"D4ads v7","D4ads v7","16 GiB","4","4 GiB/vCPU","0","220 GiB","$0.228 hourly","","","$0.0428 hourly","$0.412 hourly","","","$0.0775 hourly"
"D4alds v6","D4alds v6","8 GiB","4","2 GiB/vCPU","0","220 GiB","$0.19 hourly","","","$0.0411 hourly","$0.374 hourly","","","$0.0807 hourly"
"D4alds v7","D4alds v7","8 GiB","4","2 GiB/vCPU","0","220 GiB","$0.19 hourly","","","$0.0356 hourly","$0.374 hourly","","","$0.0703 hourly"
"D4als v6","D4als v6","8 GiB","4","2 GiB/vCPU","0","0 GiB","$0.161 hourly","","","$0.0337 hourly","$0.345 hourly","","","$0.0723 hourly"
"D4als v7","D4als v7","8 GiB","4","2 GiB/vCPU","0","0 GiB","$0.161 hourly","","","$0.0302 hourly","$0.345 hourly","","","$0.0649 hourly"
"D4as v4","D4as v4","16 GiB","4","4 GiB/vCPU","0","32 GiB","$0.192 hourly","","","$0.0419 hourly","$0.376 hourly","","","$0.0821 hourly"
"D4as v5","D4as v5","16 GiB","4","4 GiB/vCPU","0","0 GiB","$0.172 hourly","","","$0.0393 hourly","$0.356 hourly","","","$0.0813 hourly"
"D4as v6","D4as v6","16 GiB","4","4 GiB/vCPU","0","0 GiB","$0.182 hourly","","","$0.0381 hourly","$0.366 hourly","","","$0.0767 hourly"
"D4as v7","D4as v7","16 GiB","4","4 GiB/vCPU","0","0 GiB","$0.182 hourly","","","$0.0341 hourly","$0.366 hourly","","","$0.0688 hourly"
"D4a v4","D4a v4","16 GiB","4","4 GiB/vCPU","0","100 GiB","$0.192 hourly","","","$0.0419 hourly","$0.376 hourly","","","$0.0821 hourly"
"D4ds v4","D4ds v4","16 GiB","4","4 GiB/vCPU","0","150 GiB","$0.226 hourly","","","$0.0488 hourly","$0.41 hourly","","","$0.0885 hourly"
"D4ds v5","D4ds v5","16 GiB","4","4 GiB/vCPU","0","150 GiB","$0.226 hourly","","","$0.05 hourly","$0.41 hourly","","","$0.0908 hourly"
"D4ds v6","D4ds v6","16 GiB","4","4 GiB/vCPU","0","220 GiB","$0.249 hourly","","","$0.0548 hourly","$0.433 hourly","","","$0.0953 hourly"
"D4ds v7","D4ds v7","16 GiB","4","4 GiB/vCPU","0","220 GiB","$0.326 hourly","","","$0.0602 hourly","$0.51 hourly","","","$0.0942 hourly"
"D4d v4","D4d v4","16 GiB","4","4 GiB/vCPU","0","150 GiB","$0.226 hourly","","","$0.0488 hourly","$0.41 hourly","","","$0.0885 hourly"
"D4d v5","D4d v5","16 GiB","4","4 GiB/vCPU","0","150 GiB","$0.226 hourly","","","$0.05 hourly","$0.41 hourly","","","$0.0908 hourly"
"D4lds v5","D4lds v5","8 GiB","4","2 GiB/vCPU","0","150 GiB","$0.192 hourly","","","$0.0425 hourly","$0.376 hourly","","","$0.0832 hourly"
"D4lds v6","D4lds v6","8 GiB","4","2 GiB/vCPU","0","220 GiB","$0.221 hourly","","","$0.0486 hourly","$0.405 hourly","","","$0.0891 hourly"
"D4lds v7","D4lds v7","8 GiB","4","2 GiB/vCPU","0","220 GiB","$0.277 hourly","","","$0.0512 hourly","$0.461 hourly","","","$0.0852 hourly"
"D4ls v5","D4ls v5","8 GiB","4","2 GiB/vCPU","0","0 GiB","$0.17 hourly","","","$0.0359 hourly","$0.354 hourly","","","$0.0747 hourly"
"D4ls v6","D4ls v6","8 GiB","4","2 GiB/vCPU","0","0 GiB","$0.179 hourly","","","$0.0389 hourly","$0.363 hourly","","","$0.079 hourly"
"D4ls v7","D4ls v7","8 GiB","4","2 GiB/vCPU","0","0 GiB","$0.234 hourly","","","$0.0432 hourly","$0.418 hourly","","","$0.0772 hourly"
"D4nds v6","D4nds v6","16 GiB","4","4 GiB/vCPU","0","220 GiB","$0.293 hourly","","","$0.0645 hourly","$0.477 hourly","","","$0.105 hourly"
"D4nlds v6","D4nlds v6","8 GiB","4","2 GiB/vCPU","0","220 GiB","$0.28 hourly","","","$0.0616 hourly","$0.464 hourly","","","$0.1021 hourly"
"D4nls v6","D4nls v6","8 GiB","4","2 GiB/vCPU","0","0 GiB","$0.227 hourly","","","$0.0494 hourly","$0.411 hourly","","","$0.0894 hourly"
"D4ns v6","D4ns v6","16 GiB","4","4 GiB/vCPU","0","0 GiB","$0.278 hourly","","","$0.0605 hourly","$0.462 hourly","","","$0.1005 hourly"
"Standard D4pds v5","D4pds v5","16 GiB","4","4 GiB/vCPU","0","150 GiB","$0.181 hourly","","","$0.0383 hourly","","","",""
"Standard D4pds v6","D4pds v6","16 GiB","4","4 GiB/vCPU","0","220 GiB","$0.184 hourly","","","$0.0523 hourly","","","",""
"Standard D4plds v5","D4plds v5","8 GiB","4","2 GiB/vCPU","0","150 GiB","$0.154 hourly","","","$0.0326 hourly","","","",""
"Standard D4plds v6","D4plds v6","8 GiB","4","2 GiB/vCPU","0","220 GiB","$0.156 hourly","","","$0.0443 hourly","","","",""
"Standard D4pls v5","D4pls v5","8 GiB","4","2 GiB/vCPU","0","0 GiB","$0.136 hourly","","","$0.0288 hourly","","","",""
"Standard D4pls v6","D4pls v6","8 GiB","4","2 GiB/vCPU","0","0 GiB","$0.124 hourly","","","$0.0352 hourly","","","",""
"Standard D4ps v5","D4ps v5","16 GiB","4","4 GiB/vCPU","0","0 GiB","$0.154 hourly","","","$0.0326 hourly","","","",""
"Standard D4ps v6","D4ps v6","16 GiB","4","4 GiB/vCPU","0","0 GiB","$0.14 hourly","","","$0.0398 hourly","","","",""
"D4s","D4s","28 GiB","8","3.5 GiB/vCPU","0","56 GiB","$0.616 hourly","","","$0.1207 hourly","$1.12 hourly","","","$0.2195 hourly"
"D4s v3","D4s v3","16 GiB","4","4 GiB/vCPU","0","32 GiB","$0.192 hourly","","","$0.0376 hourly","$0.376 hourly","","","$0.0737 hourly"
"D4s v4","D4s v4","16 GiB","4","4 GiB/vCPU","0","0 GiB","$0.192 hourly","","","$0.0405 hourly","$0.376 hourly","","","$0.0793 hourly"
"D4s v5","D4s v5","16 GiB","4","4 GiB/vCPU","0","0 GiB","$0.192 hourly","","","$0.0405 hourly","$0.376 hourly","","","$0.0794 hourly"
"D4s v6","D4s v6","16 GiB","4","4 GiB/vCPU","0","0 GiB","$0.202 hourly","","","$0.0439 hourly","$0.386 hourly","","","$0.084 hourly"
"D4s v7","D4s v7","16 GiB","4","4 GiB/vCPU","0","0 GiB","$0.265 hourly","","","$0.049 hourly","$0.449 hourly","","","$0.083 hourly"
"D4 v2","D4 v2","28 GiB","8","3.5 GiB/vCPU","0","400 GiB","$0.585 hourly","","","$0.1147 hourly","$0.952 hourly","","","$0.1866 hourly"
"D4 v3","D4 v3","16 GiB","4","4 GiB/vCPU","0","100 GiB","$0.192 hourly","","","$0.0376 hourly","$0.376 hourly","","","$0.0737 hourly"
"D4 v4","D4 v4","16 GiB","4","4 GiB/vCPU","0","0 GiB","$0.192 hourly","","","$0.0405 hourly","$0.376 hourly","","","$0.0793 hourly"
"D4 v5","D4 v5","16 GiB","4","4 GiB/vCPU","0","0 GiB","$0.192 hourly","","","$0.0405 hourly","$0.376 hourly","","","$0.0794 hourly"
"D5 v2","D5 v2","56 GiB","16","3.5 GiB/vCPU","0","800 GiB","$1.17 hourly","","","$0.2293 hourly","$1.904 hourly","","","$0.3732 hourly"
