Name,Url,Socket,Foundry,Process Size,Package,tCaseMax,tJMax,Market,Production Status,Release Date,Part#,Frequency,Turbo Clock,P-Core Boost 3.0,E-Core Frequency,Base Clock,Multiplier,Multiplier Unlocked,TDP,Minimum Power,PL1,PL2,PL2 Tau Limit,Codename,Generation,Memory Support,DDR4 Speed,DDR5 Speed,LPDDR4x Speed,LPDDR5 Speed,ECC Memory,PCI-Express,Secondary PCIe,PCH PCIe,Chipsets,# of Cores,# of Threads,Hybrid Cores,SMP # CPUs,Integrated Graphics,Cache L1,Cache L2,Cache L3,E-Core L1,E-Core L2,Transistors,Die Size,I/O Process Size,I/O Die Size,Launch Price,FP32,Voltage,Chipset,Configurable TDP,# of CCDs,Cores per CCD,TDP-up Frequency,All-Core Turbo,Configurable TDP-up,Uncore Frequency,XFR,PPT,Idle Power,Configurable TDP-down,DDR3L Speed,LPDDR3 Speed,DMI Bus Speed,QPI Links,All Core Turbo,Effective FSB,Trace L1,AVX2 Turbo,AVX-512 Turbo,AVX-512 FMA Ports,Package#,Stepping Codes,Max Power,L1 Trace,Cache Type,Min. Assured Freq.,Max. Assured Freq.,Maximum Power,High Priority Core Freq.,Low Priority Core Freq.,High Priority Cores,Low Priority Cores,OEM Launch MSRP,Retail Launch MSRP,Bundled Cooler,Boost 3.0,P-Core Turbo,TDP-down Frequency,Boost 2.0,LPDDR4 Speed,UPI Links,Max. Memory,Retail Launch,Turbo Boost 2.0,Max Turbo Power,DMI,Adjustable Multiplier,Cache L4,TDP Range,Processor Base Power,MSRP,Retail Refresh,Core Process,Cache Process,Cache Die Size,Cache Dies,NB Frequency,ACP,Retail Release,Package HBM,Max Multi Adjust,Retail Availability,3D V-Cache,LPDDR5x Speed,All P-Core Turbo,Radeon Graphics Die Size,Dedicated Graphics
AMD Athlon II X2 250e,https://www.techpowerup.com/cpu-specs/athlon-ii-x2-250e.c1529,AMD Socket AM3,,45 nm,µPGA,,,Desktop,End-of-life,"Sep 21st, 2010",AD250EHDK23GM,3 GHz,N/A,,,200 MHz,15.0x,No,45 W,,,,,Regor,Athlon II X2 (Regor),DDR3 Dual-channel,,,,,No,Gen 2,,,,2,2,,1,N/A,128K,1MB,,,,410 million,117 mm²,,,,,1.15 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon II X2 250u,https://www.techpowerup.com/cpu-specs/athlon-ii-x2-250u.c682,AMD Socket AM3,,45 nm,µPGA,,,Desktop,End-of-life,"Oct 20th, 2009",AD250USCK23GQ,1600 MHz,N/A,,,200 MHz,8.0x,No,25 W,,,,,Regor,Athlon II X2 (Regor),DDR3 Dual-channel,,,,,No,Gen 2,,,,2,2,,1,N/A,128K,1MB,,,,410 million,117 mm²,,,,,1.05 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon II X2 255,https://www.techpowerup.com/cpu-specs/athlon-ii-x2-255.c690,AMD Socket AM3,,45 nm,µPGA,,,Desktop,End-of-life,"Jan 25th, 2010",ADX255OCK23GQ,3.1 GHz,N/A,,,200 MHz,15.5x,No,65 W,,,,,Regor,Athlon II X2 (Regor),DDR3 Dual-channel,,,,,No,Gen 2,,,,2,2,,1,N/A,128K,1MB,,,,410 million,117 mm²,,,,,1.15 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon II X2 260,https://www.techpowerup.com/cpu-specs/athlon-ii-x2-260.c691,AMD Socket AM3,,45 nm,µPGA,,,Desktop,End-of-life,"May 11th, 2010",ADX260OCK23GM,3.2 GHz,N/A,,,200 MHz,16.0x,No,65 W,,,,,Regor,Athlon II X2 (Regor),DDR3 Dual-channel,,,,,No,Gen 2,,,,2,2,,1,N/A,128K,1MB,,,,410 million,117 mm²,,,,,1.15 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon II X2 260u,https://www.techpowerup.com/cpu-specs/athlon-ii-x2-260u.c683,AMD Socket AM3,,45 nm,µPGA,,,Desktop,End-of-life,"Oct 20th, 2009",AD260USCK23GQ,1800 MHz,N/A,,,200 MHz,9.0x,No,25 W,,,,,Regor,Athlon II X2 (Regor),DDR3 Dual-channel,,,,,No,Gen 2,,,,2,2,,1,N/A,128K,1MB,,,,410 million,117 mm²,,,,,1.05 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon II X2 265,https://www.techpowerup.com/cpu-specs/athlon-ii-x2-265.c1527,AMD Socket AM3,,45 nm,µPGA,,,Desktop,End-of-life,"Sep 21st, 2010",ADX265OCK23GM,3.3 GHz,N/A,,,200 MHz,16.5x,No,65 W,,,,,Regor,Athlon II X2 (Regor),"DDR2, DDR3 Dual-channel",,,,,No,Gen 2,,,,2,2,,1,N/A,128K,1MB,,,,410 million,117 mm²,,,,,1.15 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon II X2 270,https://www.techpowerup.com/cpu-specs/athlon-ii-x2-270.c1526,AMD Socket AM3,,45 nm,µPGA,,,Desktop,End-of-life,"Jul 1st, 2011",ADX270OCK23GM,3.4 GHz,N/A,,,200 MHz,17.0x,No,65 W,,,,,Regor,Athlon II X2 (Regor),"DDR2, DDR3 Dual-channel",,,,,No,Gen 2,,,,2,2,,1,N/A,128K,1MB,,,,410 million,117 mm²,,,,,1.15 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon II X2 270u,https://www.techpowerup.com/cpu-specs/athlon-ii-x2-270u.c1528,AMD Socket AM3,,45 nm,µPGA,,,Desktop,End-of-life,"Sep 21st, 2010",AD270USCK23GM,2000 MHz,N/A,,,200 MHz,10.0x,No,25 W,,,,,Regor,Athlon II X2 (Regor),"DDR2, DDR3 Dual-channel",,,,,No,Gen 2,,,,2,2,,1,N/A,128K,1MB,,,,410 million,117 mm²,,,,,1.05 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon II X2 280,https://www.techpowerup.com/cpu-specs/athlon-ii-x2-280.c1525,AMD Socket AM3,,45 nm,µPGA,,,Desktop,unknown,"Feb 6th, 2013",ADX280OCK23GM,3.6 GHz,N/A,,,200 MHz,18.0x,No,65 W,,,,,Regor,Athlon II X2 (Regor),"DDR2, DDR3 Dual-channel",,,,,No,Gen 2,,,,2,2,,1,N/A,128K,1MB,,,,410 million,117 mm²,,,,,1.15 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon II X3 400e,https://www.techpowerup.com/cpu-specs/athlon-ii-x3-400e.c623,AMD Socket AM3,,45 nm,µPGA,,,Desktop,End-of-life,"Oct 20th, 2009",AD400EHDK32GIAD405EHDGIBOX,2.2 GHz,N/A,,,200 MHz,11.0x,No,45 W,,,,,Rana,Athlon II X3 (Rana),DDR3 Dual-channel,,,,,No,Gen 2,,,,3,3,,1,N/A,128K (per core),512K (per core),,,,300 million,169 mm²,,,,,1.25 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon II X3 405e,https://www.techpowerup.com/cpu-specs/athlon-ii-x3-405e.c624,AMD Socket AM3,,45 nm,µPGA,,,Desktop,End-of-life,"Oct 20th, 2009",AD405EHDK32GIAD405EHDGIBOXAD405EHDK32GMAD405EHDGMBOX,2.3 GHz,N/A,,,200 MHz,11.5x,No,45 W,,,,,Rana,Athlon II X3 (Rana),DDR3 Dual-channel,,,,,No,Gen 2,,,,3,3,,1,N/A,128K (per core),512K (per core),,,,300 million,169 mm²,,,,,1.25 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon II X3 415e,https://www.techpowerup.com/cpu-specs/athlon-ii-x3-415e.c692,AMD Socket AM3,,45 nm,µPGA,,,Desktop,End-of-life,"May 11th, 2010",AD415EHDK32GMAD415EHDGMBOX,2.5 GHz,N/A,,,200 MHz,12.5x,No,45 W,,,,,Rana,Athlon II X3 (Rana),DDR3 Dual-channel,,,,,No,Gen 2,,,,3,3,,1,N/A,128K (per core),512K (per core),,,,300 million,169 mm²,,,,,1.25 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon II X3 420e,https://www.techpowerup.com/cpu-specs/athlon-ii-x3-420e.c766,AMD Socket AM3,,45 nm,µPGA,,,Desktop,End-of-life,"Sep 21st, 2010",AD420EHDK32GMAD420EHDGMBOX,2.6 GHz,N/A,,,200 MHz,13.0x,No,45 W,,,,,Rana,Athlon II X3 (Rana),DDR3 Dual-channel,,,,,No,Gen 2,,,,3,3,,1,N/A,128K (per core),512K (per core),,,,300 million,169 mm²,,,,,1.25 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon II X3 425,https://www.techpowerup.com/cpu-specs/athlon-ii-x3-425.c693,AMD Socket AM3,,45 nm,µPGA,,,Desktop,End-of-life,"Oct 20th, 2009",ADX425WFK32GIADX425WFGIBOX,2.7 GHz,N/A,,,200 MHz,13.5x,No,95 W,,,,,Rana,Athlon II X3 (Rana),DDR3 Dual-channel,,,,,No,Gen 2,,,,3,3,,1,N/A,128K (per core),512K (per core),,,,300 million,169 mm²,,,,,1.425 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon II X3 425e,https://www.techpowerup.com/cpu-specs/athlon-ii-x3-425e.c767,AMD Socket AM3,,45 nm,µPGA,,,Desktop,End-of-life,"May 3rd, 2011",AD425EHDK32GMAD425EHDGMBOX,2.7 GHz,N/A,,,200 MHz,13.5x,No,45 W,,,,,Rana,Athlon II X3 (Rana),DDR3 Dual-channel,,,,,No,Gen 2,,,,3,3,,1,N/A,128K (per core),512K (per core),,,,300 million,169 mm²,,,,,1.25 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon II X3 435,https://www.techpowerup.com/cpu-specs/athlon-ii-x3-435.c694,AMD Socket AM3,,45 nm,µPGA,,,Desktop,End-of-life,"Oct 9th, 2009",ADX435WFK32GIADX435WFGIBOX,2.9 GHz,N/A,,,200 MHz,14.5x,No,95 W,,,,,Rana,Athlon II X3 (Rana),DDR3 Dual-channel,,,,,No,Gen 2,,,,3,3,,1,N/A,128K (per core),512K (per core),,,,300 million,169 mm²,,,,,1.425 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon II X3 440,https://www.techpowerup.com/cpu-specs/athlon-ii-x3-440.c695,AMD Socket AM3,,45 nm,µPGA,,,Desktop,End-of-life,"Jan 25th, 2010",ADX440WFK32GIADX440WFGIBOXADX440WFK32GMADX440WFGMBOX,3 GHz,N/A,,,200 MHz,15.0x,No,95 W,,,,,Rana,Athlon II X3 (Rana),DDR3 Dual-channel,,,,,No,Gen 2,,,,3,3,,1,N/A,128K (per core),512K (per core),,,,300 million,169 mm²,,,,,1.425 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon II X3 445,https://www.techpowerup.com/cpu-specs/athlon-ii-x3-445.c696,AMD Socket AM3,,45 nm,µPGA,,,Desktop,End-of-life,"May 11th, 2010",ADX445WFK32GMADX445WFGMBOX,3.1 GHz,N/A,,,200 MHz,15.5x,No,95 W,,,,,Rana,Athlon II X3 (Rana),DDR3 Dual-channel,,,,,No,Gen 2,,,,3,3,,1,N/A,128K (per core),512K (per core),,,,300 million,169 mm²,,,,,1.4 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon II X3 450,https://www.techpowerup.com/cpu-specs/athlon-ii-x3-450.c697,AMD Socket AM3,,45 nm,µPGA,,,Desktop,End-of-life,"Sep 21st, 2010",ADX450WFK32GMADX450WFGMBOX,3.2 GHz,N/A,,,200 MHz,16.0x,No,95 W,,,,,Rana,Athlon II X3 (Rana),DDR3 Dual-channel,,,,,No,Gen 2,,,,3,3,,1,N/A,128K (per core),512K (per core),,,,300 million,169 mm²,,,,,1.4 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon II X3 455,https://www.techpowerup.com/cpu-specs/athlon-ii-x3-455.c768,AMD Socket AM3,,45 nm,µPGA,,,Desktop,End-of-life,"Dec 7th, 2010",ADX455WFK32GMADX455WFGMBOX,3.3 GHz,N/A,,,200 MHz,16.5x,No,95 W,,,,,Rana,Athlon II X3 (Rana),DDR3 Dual-channel,,,,,No,Gen 2,,,,3,3,,1,N/A,128K (per core),512K (per core),,,,300 million,169 mm²,,,,,1.4 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon II X3 460,https://www.techpowerup.com/cpu-specs/athlon-ii-x3-460.c769,AMD Socket AM3,,45 nm,µPGA,,,Desktop,End-of-life,"May 3rd, 2011",ADX460WFK32GMADX460WFGMBOX,3.4 GHz,N/A,,,200 MHz,17.0x,No,95 W,,,,,Rana,Athlon II X3 (Rana),DDR3 Dual-channel,,,,,No,Gen 2,,,,3,3,,1,N/A,128K (per core),512K (per core),,,,300 million,169 mm²,,,,,1.4 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon II X4 600e,https://www.techpowerup.com/cpu-specs/athlon-ii-x4-600e.c778,AMD Socket AM3,,45 nm,µPGA,,,Desktop,End-of-life,"Oct 20th, 2009",AD600EHDK42GIAD600EHDGIBOX,2.2 GHz,N/A,,,200 MHz,11.0x,No,45 W,,,,,Propus,Athlon II X4 (Propus),DDR3 Dual-channel,,,,,No,Gen 2,,,,4,4,,1,N/A,128K (per core),512K (per core),,,,300 million,169 mm²,,,,,1.2 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon II X4 605e,https://www.techpowerup.com/cpu-specs/athlon-ii-x4-605e.c779,AMD Socket AM3,,45 nm,µPGA,,,Desktop,End-of-life,"Oct 20th, 2009",AD605EHDK42GIAD605EHDGIBOXAD605EHDK42GMAD605EHDGMBOX,2.3 GHz,N/A,,,200 MHz,11.5x,No,45 W,,,,,Propus,Athlon II X4 (Propus),DDR3 Dual-channel,,,,,No,Gen 2,,,,4,4,,1,N/A,128K (per core),512K (per core),,,,300 million,169 mm²,,,,,1.25 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon II X4 610e,https://www.techpowerup.com/cpu-specs/athlon-ii-x4-610e.c780,AMD Socket AM3,,45 nm,µPGA,,,Desktop,End-of-life,"May 11th, 2010",AD610EHDK42GMAD610EDGMBOX,2.4 GHz,N/A,,,200 MHz,12.0x,No,45 W,,,,,Propus,Athlon II X4 (Propus),DDR3 Dual-channel,,,,,No,Gen 2,,,,4,4,,1,N/A,128K (per core),512K (per core),,,,300 million,169 mm²,,,,,1.25 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon II X4 615e,https://www.techpowerup.com/cpu-specs/athlon-ii-x4-615e.c781,AMD Socket AM3,,45 nm,µPGA,,,Desktop,End-of-life,"Sep 21st, 2010",AD615EHDK42GMAD615EHDGMBOX,2.5 GHz,N/A,,,200 MHz,12.5x,No,45 W,,,,,Propus,Athlon II X4 (Propus),DDR3 Dual-channel,,,,,No,Gen 2,,,,4,4,,1,N/A,128K (per core),512K (per core),,,,300 million,169 mm²,,,,,1.25 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon II X4 620,https://www.techpowerup.com/cpu-specs/athlon-ii-x4-620.c783,AMD Socket AM3,,45 nm,µPGA,,,Desktop,End-of-life,"Sep 16th, 2009",ADX620WFK42GIADX620WFGIBOX,2.6 GHz,N/A,,,200 MHz,13.0x,No,95 W,,,,,Propus,Athlon II X4 (Propus),DDR3 Dual-channel,,,,,No,Gen 2,,,,4,4,,1,N/A,128K (per core),512K (per core),,,,300 million,169 mm²,,,,,1.425 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon II X4 620e,https://www.techpowerup.com/cpu-specs/athlon-ii-x4-620e.c782,AMD Socket AM3,,45 nm,µPGA,,,Desktop,End-of-life,"May 3rd, 2011",AD620EHDK42GMAD620EHDGMBOX,2.6 GHz,N/A,,,200 MHz,13.0x,No,45 W,,,,,Propus,Athlon II X4 (Propus),DDR3 Dual-channel,,,,,No,Gen 2,,,,4,4,,1,N/A,128K (per core),512K (per core),,,,300 million,169 mm²,,,,,1.25 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon II X4 630,https://www.techpowerup.com/cpu-specs/athlon-ii-x4-630.c784,AMD Socket AM3,,45 nm,µPGA,,,Desktop,End-of-life,"Sep 16th, 2009",ADX630WFK42GIADX630WFGIBOXADX630WFK42GMADX630WFGMBOX,2.8 GHz,N/A,,,200 MHz,14.0x,No,95 W,,,,,Propus,Athlon II X4 (Propus),DDR3 Dual-channel,,,,,No,Gen 2,,,,4,4,,1,N/A,128K (per core),512K (per core),,,,300 million,169 mm²,,,,,1.425 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon II X4 631,https://www.techpowerup.com/cpu-specs/athlon-ii-x4-631.c777,AMD Socket FM1,GlobalFoundries,32 nm,µPGA,,70°C,Desktop,End-of-life,"Aug 17th, 2011",AD631XWNZ43GXAD631XWNGXBOX,2.6 GHz,N/A,,,100 MHz,26.0x,No,100 W,,,,,Llano,Athlon II X4 (Llano),DDR3-1866 MHz Dual-channel,,,,,No,Gen 2,,,"A75, A55",4,4,,1,N/A,128K (per core),1MB (per core),,,,"1,178 million",228 mm²,,,,,1.4125 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon II X4 635,https://www.techpowerup.com/cpu-specs/athlon-ii-x4-635.c785,AMD Socket AM3,,45 nm,µPGA,,,Desktop,End-of-life,"Jan 25th, 2010",ADX635WFK42GIADX635WFGIBOXADX635WFK42GMADX635WFGMBOX,2.9 GHz,N/A,,,200 MHz,14.5x,No,95 W,,,,,Propus,Athlon II X4 (Propus),DDR3 Dual-channel,,,,,No,Gen 2,,,,4,4,,1,N/A,128K (per core),512K (per core),,,,300 million,169 mm²,,,,,1.425 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon II X4 638,https://www.techpowerup.com/cpu-specs/athlon-ii-x4-638.c960,AMD Socket FM1,GlobalFoundries,32 nm,µPGA,,70°C,Desktop,End-of-life,"Feb 6th, 2012",AD638XOJZ43GXAD638XOJGXBOX,2.7 GHz,N/A,,,100 MHz,27.0x,No,65 W,,,,,Llano,Athlon II X4 (Llano),DDR3-1866 MHz Dual-channel,,,,,No,Gen 2,,,"A75, A55",4,4,,1,N/A,128K (per core),1MB (per core),,,,"1,178 million",228 mm²,,,,,1.4125 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon II X4 640,https://www.techpowerup.com/cpu-specs/athlon-ii-x4-640.c787,AMD Socket AM3,,45 nm,µPGA,,,Desktop,End-of-life,"May 11th, 2010",ADX640WFK42GMADX640WFGMBOX,3 GHz,N/A,,,200 MHz,15.0x,No,95 W,,,,,Propus,Athlon II X4 (Propus),DDR3 Dual-channel,,,,,No,Gen 2,,,,4,4,,1,N/A,128K (per core),512K (per core),,,,300 million,169 mm²,,,,,1.4 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon II X4 641,https://www.techpowerup.com/cpu-specs/athlon-ii-x4-641.c959,AMD Socket FM1,GlobalFoundries,32 nm,µPGA,,70°C,Desktop,End-of-life,"Feb 6th, 2012",AD641XWNZ43GXAD641XWNGXBOX,2.8 GHz,N/A,,,100 MHz,28.0x,No,100 W,,,,,Llano,Athlon II X4 (Llano),DDR3-1866 MHz Dual-channel,,,,,No,Gen 2,,,"A75, A55",4,4,,1,N/A,128K (per core),1MB (per core),,,,"1,178 million",228 mm²,,,,,1.4125 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon II X4 645,https://www.techpowerup.com/cpu-specs/athlon-ii-x4-645.c786,AMD Socket AM3,,45 nm,µPGA,,,Desktop,End-of-life,"Sep 21st, 2010",ADX645WFK42GMADX645WFGMBOX,3.1 GHz,N/A,,,200 MHz,15.5x,No,95 W,,,,,Propus,Athlon II X4 (Propus),DDR3 Dual-channel,,,,,No,Gen 2,,,,4,4,,1,N/A,128K (per core),512K (per core),,,,300 million,169 mm²,,,,,1.4 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon II X4 651,https://www.techpowerup.com/cpu-specs/athlon-ii-x4-651.c871,AMD Socket FM1,GlobalFoundries,32 nm,µPGA,,70°C,Desktop,End-of-life,"Nov 14th, 2011",AD651XWNZ43GXAD651XWNGXBOX,3 GHz,N/A,,,100 MHz,30.0x,No,100 W,,,,,Llano,Athlon II X4 (Llano),DDR3 Dual-channel,,,,,No,Gen 2,,,"A75, A55",4,4,,1,N/A,128K (per core),1MB (per core),,,,"1,178 million",228 mm²,,,,,1.4125 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon II X4 651K,https://www.techpowerup.com/cpu-specs/athlon-ii-x4-651k.c1048,AMD Socket FM1,GlobalFoundries,32 nm,µPGA,,70°C,Desktop,End-of-life,"Nov 14th, 2011",AD651KWNZ43GXAD651KWNGXBOX,3 GHz,N/A,,,100 MHz,30.0x,Yes,100 W,,,,,Llano,Athlon II X4 (Llano),DDR3 Dual-channel,,,,,No,Gen 2,,,,4,4,,1,N/A,128K (per core),1MB (per core),,,,"1,178 million",228 mm²,,,,,1.4125 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon PRO 200GE,https://www.techpowerup.com/cpu-specs/athlon-pro-200ge.c2074,AMD Socket AM4,,14 nm,µPGA,,,Desktop,Active,"Jun 1st, 2018",unknown,3.2 GHz,N/A,,,100 MHz,32.0x,No,35 W,,,,,Zen,Athlon (Zen (Raven Ridge)),DDR4 Dual-channel,,,,,No,,,,,2,2,,1,N/A,96K (per core),512K (per core),4MB (shared),,,"4,800 million",192 mm²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon PRO 300U,https://www.techpowerup.com/cpu-specs/athlon-pro-300u.c2176,AMD Socket FP5,GlobalFoundries,14 nm,,,,Mobile,Active,"Apr 8th, 2019",unknown,2.4 GHz,up to 3.3 GHz,,,100 MHz,24.0x,No,15 W,,,,,Raven Ridge 2,Athlon (Zen (Raven Ridge 2)),DDR4 Dual-channel,,,,,No,,,,,2,4,,1,Radeon Vega 3,128K (per core),512K (per core),4MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon Silver 3050GE,https://www.techpowerup.com/cpu-specs/athlon-silver-3050ge.c2332,AMD Socket AM4,GlobalFoundries,12 nm,µOPGA-1331,95°C,,Desktop,Active,"Jul 21st, 2020",YD305GC6M2OFH,3.4 GHz,N/A,,,100 MHz,34.0x,No,35 W,,,,,Dali,Athlon (Zen+ (Dali)),DDR4-2933 MHz Dual-channel,,,,,No,Gen 4,,,,2,4,,1,Radeon Vega 3,96K (per core),512K (per core),4MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon Silver 7120U,https://www.techpowerup.com/cpu-specs/athlon-silver-7120u.c3043,AMD Socket FP6,TSMC,6 nm,FP6,,95°C,Mobile,Active,"Sep 20th, 2022",100-000000772,2.4 GHz,up to 3.5 GHz,,,100 MHz,24.0x,No,15 W,,,,,Mendocino,Athlon (Zen 2 (Mendocino)),DDR5 Dual-channel,,,,5500 MT/s,No,"Gen 3, 4 Lanes(CPU only)",,,,2,2,,1,Radeon 610M,64K (per core),512K (per core),2MB (shared),,,,100 mm²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon Silver PRO 3125GE,https://www.techpowerup.com/cpu-specs/athlon-silver-pro-3125ge.c2334,AMD Socket AM4,GlobalFoundries,12 nm,µOPGA-1331,95°C,,Desktop,Active,"Jul 21st, 2020",unknown,3.4 GHz,N/A,,,100 MHz,34.0x,No,35 W,,,,,Dali,Athlon (Zen+ (Dali)),DDR4-2933 MHz Dual-channel,,,,,Yes,Gen 4,,,,2,4,,1,Radeon Vega 3,96K (per core),512K (per core),4MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
